College Name
Acharya Nagarjuna University
Acharya N.G. Ranga Agricultural University
Adikavi Nannaya University
Andhra Kesari University
Andhra University
Damodaram Sanjivayya National Law University
Dr. Abdul Haq Urdu University
Dr. B.R. Ambedkar University AP
Dr. NTR University of Health Sciences
Dr. YSR Architecture and Fine Arts University
Dr. Y.S.R. Horticultural University
Dravidian University
"Jawaharlal Nehru Technological University, Anantapur"
"Jawaharlal Nehru Technological University, Kakinada"
Jawaharlal Nehru Technological University - Gurajada
Krishna University
Rajiv Gandhi University of Knowledge Technologies
Rayalaseema University
Sri Krishnadevaraya University
Sri Padmavati Mahila Visvavidyalayam
Sri Venkateswara Institute of Medical Sciences
Sri Venkateswara University
Sri Venkateswara Vedic University
Sri Venkateswara Veterinary University
Vikrama Simhapuri University
Yogi Vemana University
"SRM University, Amaravati"
"VIT-AP University, Amaravati"
Centurion University of Technology and Management
Krea University
Saveetha Amaravati University
B.E.S.T Innovation University
Mohan Babu University
Amrita Vishwa Vidyapeetham
Koneru Lakshmaiah Education Foundation AP
Sri Sathya Sai Institute of Higher Learning
"Vignan's Foundation for Science, Technology & Research"
Siddhartha Academy of Higher Education (SAHE)
Aditya Institute of Technology and Management
Anil Neerukonda Institute of Technology and Sciences
Annamacharya Institute of Technology and Science
Avanthi Institute of Engineering & Technology
Audisankara College of Engineering & Technology
Bapatla Engineering College
Bonam Venkata Chalamayya Engineering College
Chalapathi Institute of Engineering and Technology
Dhanekula Institute of Engineering and Technology
DVR & Dr. HS MIC College of Technology
Gandhi Institute of Technology and Management
Gayatri Vidya Parishad College of Engineering
Godavari Institute of Engineering and Technology
G Pulla Reddy College of Engineering & Technology
GMR Institute of Technology
Gudlavalleru Engineering College
Krishna University College of Engineering and Technology
KSRM College of Engineering
Lakkireddy Bali Reddy College of Engineering
Madanapalle Institute of Technology & Science
MVGR College of Engineering
Narasaraopeta Engineering College
NBKR Institute of Science & Technology
NRI Institute of Technology Vijayawada
QIS College of Engineering and Technology
Raghu Engineering College
Rajeev Gandhi Memorial College of Engineering & Technology
RVR & JC College of Engineering
Sagi Rama Krishnam Raju Engineering College
Seshadri Rao Gudlavalleru Engineering College
Shree Institute of Technical Education
Sree Vidyanikethan Engineering College
Sri Sivani College of Engineering
Sri Vasavi Engineering College
Sri Venkatesa Perumal College of Engineering & Technology
St. Ann's College of Engineering & Technology
Siddharth Institute of Engineering & Technology
Tenali Engineering College
Vasireddy Venkatadri Institute of Technology
Velagapudi Ramakrishna Siddhartha Engineering College
Vignan's Institute of Information Technology
Vishnu Institute of Technology
Quba College of Engineering and Technology Nellore
Sree Vidyanikethan Engineering College
Dr. B.R. Ambedkar College of Law
"Acharya Nagarjuna University, Guntur"
Damodaram Sanjivayya National Law University
Sri Venkateswara College of Law
Gitam School of Law
KLU Law College
NVP Law College
JC College of Law
PS Raju Law College
Daita Sriramulu Hindu College of Law
Sri R.K.M. Law College
Sri Eshwar Reddy College of Law
Visakha Law College
Indira Priyadarshini Law College
Veeravalli College of Law
KKC College of Law
Anantha College of Law
Smt Velagapudi Durgamba Siddhartha Law College
Dr Ambedkar Global Law Institute
Sri Vijayanagar College of Law
V.R. Law College
"NS Law College, Devarajugattu"
Andhra Medical College
Fathima Institute of Medical Sciences
Guntur Institute of Medical Sciences
Kurnool Medical College
"Government Medical College, Kadapa"
Central University of Andhra Pradesh
Central Tribal University of Andhra Pradesh
National Sanskrit University
All India Institute of Medical Sciences
Indian Institute of Management
Indian Institute of Technology
Indian Institute of Information Technology Design and Manufacturing
Indian Institute of Information Technology
Indian Institute of Petroleum and Energy
Indian Institute of Science Education and Research
Indian Maritime University – Visakhapatnam Campus
National Institute of Technology Andhra Pradesh
National Institute of Oceanography
"School of Planning and Architecture, Vijayawada"
"National Institute of Design, Guntur"
"Indian Culinary Institute, Tirupati"
Indian Institute of Foreign Trade
Indian Institute of Tourism and Travel Management
Central Tobacco Research Institute
National Academy of Customs Indirect Taxes and Narcotics
